hjd,camera,mag,mag_err,flux,flux_err
2458434.82325,bd,14.213,0.02588,7.922,0.189
2457592.06134,bd,14.286,0.02671,7.403,0.182
2457300.85834,bc,14.293,0.02637,7.605,0.185
2457218.9464,bc,14.308,0.02655,7.501,0.183
2457996.78615,bc,14.23,0.02567,8.062,0.19
2457946.06305,bd,14.314,0.02706,7.218,0.18
2457212.94104,bd,14.279,0.02663,7.455,0.183
2457906.00184,bc,14.229,0.02566,8.065,0.19
2457317.86564,bd,14.296,0.02684,7.338,0.181
2458336.03008,bd,14.263,0.02644,7.563,0.184
2457970.83339,bc,14.277,0.02619,7.721,0.186
2457960.04211,bd,14.299,0.02687,7.315,0.181
2458061.71607,bc,14.356,0.02712,7.186,0.179
2458002.79658,bc,14.32,0.02669,7.419,0.182
2457628.00014,bc,14.28,0.02622,7.696,0.186
2457509.11712,bc,14.248,0.02587,7.929,0.189
2457288.90297,bd,14.266,0.02648,7.541,0.184
2457983.05921,bd,14.229,0.02605,7.805,0.187
2458449.77493,bd,14.288,0.02674,7.394,0.182
2457987.97537,bc,14.287,0.0263,7.651,0.185
2457243.03896,bd,14.238,0.02615,7.736,0.186
2457503.1222,bd,14.352,0.02755,6.966,0.177
2457319.83504,bc,14.258,0.02597,7.858,0.188
2457500.11038,bc,14.325,0.02675,7.385,0.182
2457964.85126,bc,14.219,0.02556,8.14,0.191
2457583.94535,bd,14.246,0.02624,7.681,0.185
2457568.95132,bc,14.236,0.02574,8.016,0.19
2457967.00948,bc,14.228,0.02565,8.072,0.19
2457603.99735,bd,14.251,0.0263,7.644,0.185
2458054.73053,bd,14.36,0.02765,6.914,0.176
2458417.88442,bd,14.273,0.02656,7.495,0.183
2457185.01367,bd,14.275,0.02658,7.478,0.183
2457921.05658,bd,14.231,0.02607,7.788,0.187
2457927.04334,bd,14.249,0.02628,7.66,0.185
2458063.72318,bc,14.304,0.0265,7.531,0.184
2457223.00651,bd,14.231,0.02607,7.787,0.187
2458322.86663,bc,14.279,0.02621,7.705,0.186
2457190.06346,bc,14.223,0.0256,8.108,0.191
